Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
165,Cuiabano,br BRA,"DF,MF",Grêmio,19,2003,5.4,15,7,8,6,1,3,9,33.3,6,7,2,5,11,26,16,0,Matches
166,Lucas Cunha,br BRA,DF,Bragantino,26,1997,0.8,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,1,1,Matches
167,Matheus Cunha,br BRA,GK,Flamengo,21,2001,17.6,0,0,0,0,0,0,0,,0,1,0,1,0,0,10,3,Matches
168,Ian Custódio,br BRA,DF,Palmeiras,19,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
169,João Dalla Corte,br BRA,DF,Internacional,16,2006,0.2,1,0,0,0,1,0,0,,0,0,0,0,1,2,0,0,Matches
170,Danielzinho,br BRA,"FW,MF",Bahia,27,1996,0.9,1,1,0,1,0,1,3,33.3,2,1,0,1,0,1,0,0,Matches
171,Danielzinho,br BRA,FW,Ath Paranaense,20,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
172,Danielzinho,br BRA,MF,Fluminense,27,1996,6.8,17,9,9,6,2,11,17,64.7,6,9,4,5,9,26,6,0,Matches
173,David,br BRA,"FW,MF",São Paulo,27,1995,8.1,6,2,2,1,3,2,8,25.0,6,8,1,7,0,6,2,0,Matches
174,Giorgian De Arrascaeta,uy URU,"MF,FW",Flamengo,28,1994,20.5,36,24,10,18,8,12,34,35.3,22,12,1,11,7,43,14,0,Matches
